user_id,movie_id,movie_name,rating
1,5,"Four Rooms",4.5
1,6,"Judgment Night",2
1,11,"Star Wars",7
1,13,"Forrest Gump",6
1,63,"Twelve Monkeys",NULL
1,76,"Before Sunrise",NULL
1,101,"Leon: The Professional",5
1,103,"Taxi Driver",NULL
1,108,"Three Colors: Blue",6
1,109,"Three Colors: White",1
2,110,"Three Colors: Red",NULL
2,178,"Blown Away",NULL
2,193,"Star Trek: Generations",NULL
2,197,Braveheart,NULL
2,236,"Muriel's Wedding",NULL
2,241,"Natural Born Killers",1
2,278,"The Shawshank Redemption",3
2,281,"Strange Days",NULL
2,306,"Beverly Hills Cop III",NULL
2,315,"Faster, Pussycat! Kill! Kill!",NULL
3,329,"Jurassic Park",9.5
3,397,"French Kiss",NULL
3,400,"Things to Do in Denver When You're Dead",NULL
3,406,"La Haine",7
3,414,"Batman Forever",NULL
3,451,"Leaving Las Vegas",1
3,507,"Killing Zoe",NULL
3,522,"Ed Wood",NULL
3,524,Casino,NULL
3,527,"Once Were Warriors",NULL
4,568,"Apollo 13",NULL
4,577,"To Die For",NULL
4,628,"Interview with the Vampire",NULL
4,629,"The Usual Suspects",NULL
4,649,"Belle de Jour",NULL
4,680,"Pulp Fiction",4
4,687,"Dead Man Walking",NULL
4,688,"The Bridges of Madison County",4
4,710,GoldenEye,NULL
4,712,"Four Weddings and a Funeral",NULL
5,755,"From Dusk Till Dawn",NULL
5,788,"Mrs. Doubtfire",NULL
5,807,Se7en,NULL
5,854,"The Mask",7
5,862,"Toy Story",NULL
5,880,"Antonia's Line",NULL
5,888,"The Flintstones",5
5,902,"The City of Lost Children",NULL
5,949,Heat,NULL
5,1024,"Heavenly Creatures",NULL
6,1408,"Cutthroat Island",NULL
6,1413,"M. Butterfly",3
6,1572,"Die Hard: With a Vengeance",NULL
6,1587,"What's Eating Gilbert Grape",NULL
6,1607,"A Bronx Tale",4
6,1634,"Free Willy",10
6,1637,Speed,6
6,1642,"The Net",NULL
6,1689,"Little Buddha",NULL
6,1710,Copycat,NULL
7,1775,"Canadian Bacon",6
7,1873,"Beyond Rangoon",5
7,1909,"Don Juan DeMarco",8
7,1945,Nell,NULL
7,2019,"Hard Target",NULL
7,2045,Unforgettable,5
7,2054,"Mr. Holland's Opus",10
7,2064,"While You Were Sleeping",NULL
7,2074,"Flirting with Disaster",NULL
7,2086,"Nick of Time",10
8,2087,"The Getaway",NULL
8,2124,"Color of Night",NULL
8,2164,Stargate,3
8,2246,Malice,NULL
8,2259,"The House of the Spirits",NULL
8,2292,Clerks,NULL
8,2293,Mallrats,NULL
8,2307,"A Pyromaniac's Love Story",7
8,2320,"Executive Decision",NULL
8,2625,"Mr. Jones",8
9,2636,"The Specialist",6
9,2654,"In the Mouth of Madness",NULL
9,2758,"Addams Family Values",NULL
9,2759,"The Adventures of Priscilla, Queen of the Desert",10
9,2788,"Reality Bites",NULL
9,3036,"Mary Shelley's Frankenstein",NULL
9,3049,"Ace Ventura: Pet Detective",9
9,3512,"Under Siege 2: Dark Territory",NULL
9,3586,Prêt-à-Porter,NULL
9,4476,"Legends of the Fall",NULL
10,4482,"French Twist",4
10,4584,"Sense and Sensibility",NULL
10,4722,"Body Snatchers",NULL
10,4916,"Guilty as Sin",NULL
10,4954,"Drop Zone",NULL
10,5503,"The Fugitive",8
10,5757,"Man of the Year",NULL
10,5879,"In the Realm of the Senses",2
10,5894,"Blue in the Face",NULL
10,5967,"The Umbrellas of Cherbourg",NULL
11,6071,"Kiss of Death",NULL
11,6075,"Carlito's Way",NULL
11,6280,Junior,9
11,6520,"First Knight",7
11,6715,"The Cure",NULL
11,6950,Outbreak,6
11,7984,"In the Name of the Father",NULL
11,8011,"Highlander: The Final Dimension",NULL
11,8012,"Get Shorty",9
11,8068,Desperado,9
12,8391,"When Night Is Falling",NULL
12,8438,"Murder in the First",NULL
12,8447,"Angels and Insects",7
12,8467,"Dumb and Dumber",NULL
12,8512,"Devil in a Blue Dress",NULL
12,8587,"The Lion King",NULL
12,8831,Timecop,NULL
12,8839,Casper,NULL
12,8844,Jumanji,9
12,8963,"Crimson Tide",4
13,8973,"Lord of Illusions",NULL
13,8984,Disclosure,NULL
13,8986,"Milk Money",10
13,8987,"The River Wild",NULL
13,9024,"For Love or Money",10
13,9058,"Only You",NULL
13,9059,"Tales from the Crypt: Demon Knight",NULL
13,9061,"Just Cause",9
13,9067,"Tank Girl",NULL
13,9070,"Mighty Morphin Power Rangers: The Movie",NULL
14,9071,"Living in Oblivion",NULL
14,9073,"Free Willy 2 - The Adventure Home",NULL
14,9087,"The American President",6
14,9089,"Home for the Holidays",NULL
